Month,UNIT,Domestic,Import
2012M01,Million Litres,133.3,32.9
2012M02,Million Litres,236.6,29.8
2012M03,Million Litres,473,32.3
2012M04,Million Litres,637.3,38.9
2012M05,Million Litres,735,42.3
2012M06,Million Litres,684.3,40.5
2012M07,Million Litres,609.8,39.7
2012M08,Million Litres,546.8,29.5
2012M09,Million Litres,446.6,26.7
2012M10,Million Litres,364.2,28.3
2012M11,Million Litres,227.6,33.9
2012M12,Million Litres,138,31.1
2013M01,Million Litres,125.5,34.1
2013M02,Million Litres,222.9,35
2013M03,Million Litres,468.1,37.1
2013M04,Million Litres,568.7,37.7
2013M05,Million Litres,733.2,39.1
2013M06,Million Litres,700.9,39.8
2013M07,Million Litres,652.7,36.9
2013M08,Million Litres,592.7,31.1
2013M09,Million Litres,498.5,26.8
2013M10,Million Litres,418.3,28.3
2013M11,Million Litres,276.4,32.4
2013M12,Million Litres,164.8,32.2
2014M01,Million Litres,132,38.8
2014M02,Million Litres,214,37.6
2014M03,Million Litres,470.7,40.8
2014M04,Million Litres,697,43.6
2014M05,Million Litres,785.5,51.1
2014M06,Million Litres,732.4,45.4
2014M07,Million Litres,688,44.8
2014M08,Million Litres,608.2,40.9
2014M09,Million Litres,519.2,38.6
2014M10,Million Litres,426.3,37.4
2014M11,Million Litres,237.7,43.9
2014M12,Million Litres,137.6,48.2
2015M01,Million Litres,114.8,50.7
2015M02,Million Litres,215.1,47.5
2015M03,Million Litres,454,49.8
2015M04,Million Litres,784.3,53
2015M05,Million Litres,875.1,60.5
2015M06,Million Litres,819.2,58.6
2015M07,Million Litres,768.9,54.6
2015M08,Million Litres,693.9,44
2015M09,Million Litres,604.2,38.4
2015M10,Million Litres,536.3,40.3
2015M11,Million Litres,347.9,44.3
2015M12,Million Litres,181.6,51.9
2016M01,Million Litres,147.6,78.6
2016M02,Million Litres,287.1,76
2016M03,Million Litres,594.6,84.6
2016M04,Million Litres,760.8,85.7
2016M05,Million Litres,926.6,94.7
2016M06,Million Litres,853.2,56.4
2016M07,Million Litres,782.5,48.3
2016M08,Million Litres,699.3,50.8
2016M09,Million Litres,583.8,56.7
2016M10,Million Litres,500.1,55.9
2016M11,Million Litres,337.1,59.7
2016M12,Million Litres,178.3,65.7
2017M01,Million Litres,148.7,66.1
2017M02,Million Litres,272.9,61.6
2017M03,Million Litres,620.9,74.6
2017M04,Million Litres,866.3,72.9
2017M05,Million Litres,999.6,82.3
2017M06,Million Litres,917.9,78
2017M07,Million Litres,875.3,
2017M08,Million Litres,786.6,61.4
2017M09,Million Litres,654,58.8
2017M10,Million Litres,534.3,55.4
2017M11,Million Litres,380.8,58.8
2017M12,Million Litres,205.5,
2018M01,Million Litres,161.8,70.7
2018M02,Million Litres,294.2,67.5
2018M03,Million Litres,627.5,
2018M04,Million Litres,823.1,
2018M05,Million Litres,993.1,
2018M06,Million Litres,924.7,
2018M07,Million Litres,853.4,70.1
2018M08,Million Litres,823.8,63.7
2018M09,Million Litres,721.8,58.6
2018M10,Million Litres,642,62.9
2018M11,Million Litres,461.2,62.4
2018M12,Million Litres,258.5,71.1
2019M01,Million Litres,175.3,71.3
2019M02,Million Litres,303.6,71.1
2019M03,Million Litres,708.7,72
2019M04,Million Litres,953.3,56.9
2019M05,Million Litres,1072.2,55.5
2019M06,Million Litres,1001,60.1
2019M07,Million Litres,943.2,53.3
2019M08,Million Litres,842.8,
2019M09,Million Litres,721.9,58.9
2019M10,Million Litres,604.7,
2019M11,Million Litres,418.1,
2019M12,Million Litres,241.4,
2020M01,Million Litres,176.2,
2020M02,Million Litres,331.7,
2020M03,Million Litres,725.7,
2020M04,Million Litres,982.7,
2020M05,Million Litres,1115.3,
2020M06,Million Litres,1031,
2020M07,Million Litres,985,
2020M08,Million Litres,867.6,
2020M09,Million Litres,725.4,.
2020M10,Million Litres,646.8,.
2020M11,Million Litres,449.8,.
2020M12,Million Litres,258.8,
2021M01,Million Litres,182.2,
2021M02,Million Litres,352.4,
2021M03,Million Litres,829.7,
2021M04,Million Litres,1060.5,
2021M05,Million Litres,1181,
2021M06,Million Litres,1067.3,
2021M07,Million Litres,1017.3,
2021M08,Million Litres,917.4,
2021M09,Million Litres,776.7,
2021M10,Million Litres,652.8,
2021M11,Million Litres,460.6,
2021M12,Million Litres,256.3,
2022M01,Million Litres,175.7,
2022M02,Million Litres,355.2,
