Statistic,Month,UNIT,Heifers 200-249kg,Heifers 250-299kg,Heifers 300-349kg,Heifers 350-399kg,Heifers 400-449kg
Cattle Price per Head,2012M01,Euro,621.64,700.5,776.69,867.3,942.58
Cattle Price per Head,2012M02,Euro,622.37,707.23,808.36,884.68,961.05
Cattle Price per Head,2012M03,Euro,643.39,753.95,836.96,926.91,1019.91
Cattle Price per Head,2012M04,Euro,611.18,705.56,801.97,902.62,1006.71
Cattle Price per Head,2012M05,Euro,568.21,674.82,771.91,864.44,975.71
Cattle Price per Head,2012M06,Euro,600.12,681.38,777.18,899.73,995
Cattle Price per Head,2012M07,Euro,536.2,617.26,716.74,821.81,917.55
Cattle Price per Head,2012M08,Euro,458.54,541.26,648.31,734.7,844.73
Cattle Price per Head,2012M09,Euro,437.14,505.04,632.16,741.25,850.7
Cattle Price per Head,2012M10,Euro,446,516.86,631.03,730.85,851.75
Cattle Price per Head,2012M11,Euro,511.91,517.69,632.79,742.64,836.14
Cattle Price per Head,2012M12,Euro,475.6,576.64,622.31,737.52,852.57
Cattle Price per Head,2013M01,Euro,523.87,588.25,690.35,768.5,882.01
Cattle Price per Head,2013M02,Euro,517.76,630.81,712.84,807.34,917.95
Cattle Price per Head,2013M03,Euro,522.05,619.77,732.02,826.26,942.24
Cattle Price per Head,2013M04,Euro,472.17,577.91,673.77,820.32,927.74
Cattle Price per Head,2013M05,Euro,441.37,552.54,669.76,796.44,933.56
Cattle Price per Head,2013M06,Euro,431.68,545.23,669.38,786.18,919.67
Cattle Price per Head,2013M07,Euro,420.44,540.29,638.25,739.02,851.84
Cattle Price per Head,2013M08,Euro,500.37,548,675.7,788.83,908.91
Cattle Price per Head,2013M09,Euro,417.5,541.93,650.37,763.2,873.58
Cattle Price per Head,2013M10,Euro,481.63,577.37,666.65,791.75,895.54
Cattle Price per Head,2013M11,Euro,532.12,553.83,639.59,741.64,860.79
Cattle Price per Head,2013M12,Euro,488.85,590.52,680.21,782,867.85
Cattle Price per Head,2014M01,Euro,498.38,597.4,704.5,789.13,867.04
Cattle Price per Head,2014M02,Euro,506.55,612.72,704.99,790.58,884.23
Cattle Price per Head,2014M03,Euro,497.04,588.64,682.82,789.94,906.31
Cattle Price per Head,2014M04,Euro,472.67,589.84,689.85,806.49,908.97
Cattle Price per Head,2014M05,Euro,509.21,595.29,691.55,808.22,893.82
Cattle Price per Head,2014M06,Euro,473.18,560.04,675.13,781.13,859.14
Cattle Price per Head,2014M07,Euro,505.24,610.18,683.85,795.18,877.23
Cattle Price per Head,2014M08,Euro,506.4,547.58,660.07,757.06,835.55
Cattle Price per Head,2014M09,Euro,478.33,574.39,652.47,748.98,842.18
Cattle Price per Head,2014M10,Euro,508.42,584.94,679.65,774.27,863.35
Cattle Price per Head,2014M11,Euro,496.13,571.37,658.8,753.09,860.03
Cattle Price per Head,2014M12,Euro,551.02,597.84,684.32,789.25,864.86
Cattle Price per Head,2015M01,Euro,556.6,693.28,765.38,854.32,945.96
Cattle Price per Head,2015M02,Euro,578.06,691.32,804.9,902.23,984.08
Cattle Price per Head,2015M03,Euro,574.75,687.01,770.67,882.08,994.71
Cattle Price per Head,2015M04,Euro,598.35,684.45,786.29,901.96,1015.77
Cattle Price per Head,2015M05,Euro,566.99,672.36,779.63,877.78,973.55
Cattle Price per Head,2015M06,Euro,622.83,697.37,801,904.59,1018.98
Cattle Price per Head,2015M07,Euro,578.2,702.37,821.65,923.63,1018.27
Cattle Price per Head,2015M08,Euro,542.94,642.69,744.12,841.77,956.23
Cattle Price per Head,2015M09,Euro,568,614.69,726.91,833.69,929.82
Cattle Price per Head,2015M10,Euro,567.69,630.53,743.53,821.06,914.81
Cattle Price per Head,2015M11,Euro,505.46,623.8,695.48,789.36,882.82
Cattle Price per Head,2015M12,Euro,489.88,594.49,709.96,808.57,885.9
Cattle Price per Head,2016M01,Euro,534.57,660.13,748.13,817.96,902.65
Cattle Price per Head,2016M02,Euro,578.45,656.32,754.64,845.94,948.29
Cattle Price per Head,2016M03,Euro,576.89,659.61,744.15,857.49,962.65
Cattle Price per Head,2016M04,Euro,520.82,623.94,721.27,836.83,942.54
Cattle Price per Head,2016M05,Euro,552.83,655.24,746.2,843.51,959.81
Cattle Price per Head,2016M06,Euro,545.67,630.42,730.62,846.85,944.37
Cattle Price per Head,2016M07,Euro,521.67,621.11,698.33,802.24,900.12
Cattle Price per Head,2016M08,Euro,540.33,605.63,696.53,785.09,884.48
Cattle Price per Head,2016M09,Euro,435,566.38,669.24,750.59,855.62
Cattle Price per Head,2016M10,Euro,424.17,516.7,636.19,726.78,813.77
Cattle Price per Head,2016M11,Euro,455.22,511.59,600.54,731.26,822.54
Cattle Price per Head,2016M12,Euro,473.89,573.72,649.77,745.74,840.5
Cattle Price per Head,2017M01,Euro,506.38,610.74,724.68,809.54,881.02
Cattle Price per Head,2017M02,Euro,529.61,603.95,738.44,806.47,921.06
Cattle Price per Head,2017M03,Euro,543.93,635.54,737.95,832.43,931.48
Cattle Price per Head,2017M04,Euro,524.37,623.22,724.27,827.07,944.73
Cattle Price per Head,2017M05,Euro,530.42,623.99,715.7,834.15,941.72
Cattle Price per Head,2017M06,Euro,498.71,630.23,727.71,836.06,950.21
Cattle Price per Head,2017M07,Euro,530.97,629.35,716.36,822.72,931.8
Cattle Price per Head,2017M08,Euro,534.06,607.9,690.06,795.18,903.86
Cattle Price per Head,2017M09,Euro,445.36,572.53,641.75,774.84,863.18
Cattle Price per Head,2017M10,Euro,476.28,550.71,639.47,735.54,835.11
Cattle Price per Head,2017M11,Euro,477.17,553.82,647.64,760.13,846.25
Cattle Price per Head,2017M12,Euro,467.38,551.46,636.88,765.4,877.7
Cattle Price per Head,2018M01,Euro,502.87,606.04,699.78,805.17,897.59
Cattle Price per Head,2018M02,Euro,523.6,610.55,717.41,822.83,908
Cattle Price per Head,2018M03,Euro,498.55,610.35,707.12,831.82,931.73
Cattle Price per Head,2018M04,Euro,458.9,571.27,669.81,799.78,926.24
Cattle Price per Head,2018M05,Euro,456.61,552.89,676.97,806.81,935.29
Cattle Price per Head,2018M06,Euro,470.56,564.35,668.71,790.91,904.34
Cattle Price per Head,2018M07,Euro,398,522.44,635.44,703.58,845.57
Cattle Price per Head,2018M08,Euro,364.19,487.61,579.85,696.09,838.18
Cattle Price per Head,2018M09,Euro,362.92,462.06,545.86,667.49,825.15
Cattle Price per Head,2018M10,Euro,440.95,492.6,564.13,679.85,819.36
Cattle Price per Head,2018M11,Euro,368.75,450.42,578.13,678.87,793.81
Cattle Price per Head,2018M12,Euro,373.46,527.91,585.44,698.55,829.45
Cattle Price per Head,2019M01,Euro,466.76,541.53,631.18,766.4,835.39
Cattle Price per Head,2019M02,Euro,475.98,563.93,704.12,808.93,878.64
Cattle Price per Head,2019M03,Euro,461.77,554.94,681.29,788.07,881.46
Cattle Price per Head,2019M04,Euro,422.53,532.32,646.67,772.88,893.58
Cattle Price per Head,2019M05,Euro,446.33,562.41,670.29,782.83,910.06
Cattle Price per Head,2019M06,Euro,434.36,552.38,678.92,796.53,884.92
Cattle Price per Head,2019M07,Euro,441.51,517.36,627.91,722.09,827.06
Cattle Price per Head,2019M08,Euro,441.67,497,594.76,700.46,803.22
Cattle Price per Head,2019M09,Euro,395,479.69,576.59,683.06,782.12
Cattle Price per Head,2019M10,Euro,420.56,525.61,565.08,663.9,762.89
Cattle Price per Head,2019M11,Euro,367,475.32,580.84,685.79,792.25
Cattle Price per Head,2019M12,Euro,449.38,493.91,601.98,720.53,831.4
Cattle Price per Head,2020M01,Euro,530.4,580.11,648.08,777.26,864.63
Cattle Price per Head,2020M02,Euro,463.75,594.53,678.36,800.23,899.79
Cattle Price per Head,2020M03,Euro,451.92,553.53,654.53,757.85,861.73
Cattle Price per Head,2020M04,Euro,440,573.83,714.59,769.39,878.05
Cattle Price per Head,2020M05,Euro,593.33,661.74,741.01,853.84,903.46
Cattle Price per Head,2020M06,Euro,472.43,561.05,671.37,782.83,867.35
Cattle Price per Head,2020M07,Euro,546.13,584.78,665.99,778.97,881.04
Cattle Price per Head,2020M08,Euro,533.75,582.94,667.02,765.94,853
Cattle Price per Head,2020M09,Euro,522.67,539.79,643.5,743.06,829.73
Cattle Price per Head,2020M10,Euro,415.94,552.72,649.71,747.48,838.3
Cattle Price per Head,2020M11,Euro,431.25,514.29,636.42,740.91,834.4
Cattle Price per Head,2020M12,Euro,511.76,604.88,640.81,771.04,848.81
Cattle Price per Head,2021M01,Euro,540.79,614.47,691.65,798.03,896.38
Cattle Price per Head,2021M02,Euro,498.79,601.33,690.26,814,893.93
Cattle Price per Head,2021M03,Euro,525.12,610.85,713.21,827.74,946.35
Cattle Price per Head,2021M04,Euro,526.39,613.5,720.86,845.05,959.2
Cattle Price per Head,2021M05,Euro,499.1,601.35,689.16,796.61,928.02
Cattle Price per Head,2021M06,Euro,485.51,608.6,730.25,844.54,965.24
Cattle Price per Head,2021M07,Euro,515.19,623.33,723.04,837.85,941.82
Cattle Price per Head,2021M08,Euro,480,598.07,689.2,801.61,913.59
Cattle Price per Head,2021M09,Euro,450.74,570.54,694.88,804.71,915.68
Cattle Price per Head,2021M10,Euro,516,529.67,656.53,777.37,890.95
Cattle Price per Head,2021M11,Euro,419.66,547.42,641.39,762.83,888.34
Cattle Price per Head,2021M12,Euro,490.37,623.57,693.47,806,912.35
Cattle Price per Head,2022M01,Euro,553.25,640.07,765.68,857.22,970.51
Cattle Price per Head,2022M02,Euro,587.61,668.57,776.96,910.01,1034.15
