,Year,Month,Raw milk price,Butter,Calf nuts value,Cheese,Cow slaughterings (Thousand tonnes),Dairy meal value,Dairy nuts value,Domestic milk intake,Fat content (Percent),Heifers 200-249kg,Heifers 250-299kg,Heifers 300-349kg,Heifers 350-399kg,Heifers 400-449kg,Maize meal value,Skimmed milk sales,Skimmed milk powder,Whole milk sales,Imported milk intake
0,2014.0,1.0,42.34,4.4,329.0,2.3,49.4,300.0,302.0,132.0,4.11,498.38,597.4,704.5,789.13,867.04,252.0,16.9,4.612500000000001,23.5,252
1,2014.0,2.0,41.76,6.2,329.0,6.5,45.4,303.0,303.0,214.0,4.11,506.55,612.72,704.99,790.58,884.23,248.0,15.4,0.8,21.3,248
2,2014.0,3.0,39.04,14.4,305.0,18.4,48.6,290.0,288.0,470.7,4.08,497.04,588.64,682.82,789.94,906.31,244.0,18.7,3.9,25.4,244
3,2014.0,4.0,38.55,17.3,313.0,22.8,49.3,276.0,289.0,697.0,3.87,472.67,589.84,689.85,806.49,908.97,233.0,15.0,6.5,21.9,233
4,2014.0,5.0,37.1,21.7,315.0,24.8,48.8,284.0,292.0,785.5,3.75,509.21,595.29,691.55,808.22,893.82,240.0,17.4,11.9,24.9,240
5,2014.0,6.0,36.9,19.6,312.0,26.5,46.2,278.0,290.0,732.4,3.73,473.18,560.04,675.13,781.13,859.14,240.0,16.2,11.0,24.3,240
6,2014.0,7.0,35.25,20.3,311.0,21.8,45.8,279.0,289.0,688.0,3.82,505.24,610.18,683.85,795.18,877.23,234.0,16.5,10.1,23.3,234
7,2014.0,8.0,36.52,17.5,311.0,20.4,46.3,278.0,287.0,608.2,3.97,506.4,547.58,660.07,757.06,835.55,228.0,16.0,8.4,23.2,228
8,2014.0,9.0,35.45,15.7,297.0,22.1,53.6,257.0,273.0,519.2,4.17,478.33,574.39,652.47,748.98,842.18,229.0,16.0,4.9,23.2,229
9,2014.0,10.0,38.17,13.5,279.0,14.8,53.9,250.0,270.0,426.3,4.49,508.42,584.94,679.65,774.27,863.35,227.0,16.5,5.4125,23.6,227
10,2014.0,11.0,37.58,9.8,287.0,5.3,48.2,256.0,267.0,237.7,4.55,496.13,571.37,658.8,753.09,860.03,224.0,17.1,5.237500000000001,24.1,224
11,2014.0,12.0,33.31,5.9,289.0,2.7,46.6,257.0,269.0,137.6,4.25,551.02,597.84,684.32,789.25,864.86,222.0,16.2,3.9,23.3,222
12,2015.0,1.0,31.47,3.5,292.0,1.9,47.2,259.0,269.0,114.8,4.11,556.6,693.28,765.38,854.32,945.96,223.0,18.0,1.7,24.9,223
13,2015.0,2.0,31.95,6.6,289.0,7.0,45.4,262.0,269.0,215.1,4.15,578.06,691.32,804.9,902.23,984.08,220.0,16.2,1.3,22.5,220
14,2015.0,3.0,30.01,14.8,292.0,15.9,48.8,266.0,272.0,454.0,4.06,574.75,687.01,770.67,882.08,994.71,223.0,18.9,2.9,26.4,223
