,Year,Month,Average price of raw milk from Ireland (Euro per 100kg),Butter (Thousand tonnes),Cheese (Thousand tonnes),Domestic milk intake (Million litres),Fat content (Percent),Heifers 200-249kg,Heifers 250-299kg,Heifers 300-349kg,Heifers 350-399kg,Heifers 400-449kg,Imported milk intake (Million litres),Skimmed & semi-skimmed milk sales (Million litres),Skimmed milk powder (Thousand tonnes),Whole milk sales (Million litres)
0,2007,1,28.3,3.8,1.3,123.0,3.87,363.58,431.76,520.38,574.8,661.13,54.6,12.3,2.4,32.1
1,2007,2,27.18,5.0,2.4,185.4,3.87,386.08,462.94,539.81,587.47,646.99,38.0,12.6,1.9,29.3
2,2007,3,25.64,10.1,10.2,386.5,3.8,409.33,474.93,539.83,603.81,670.93,35.8,12.8,5.0,32.4
3,2007,4,27.29,14.8,17.6,581.0,3.59,399.75,457.74,535.86,625.49,690.35,38.7,12.1,10.1,30.4
4,2007,5,29.76,19.1,19.3,688.3,3.62,398.11,461.66,536.39,607.95,673.32,46.9,12.8,13.2,31.8
5,2007,6,32.64,21.1,20.7,645.2,3.66,404.58,452.8,515.49,590.33,662.78,45.7,12.5,14.3,30.8
6,2007,7,34.5,16.8,16.8,615.3,3.71,363.84,424.68,494.88,564.84,641.96,39.7,12.7,12.5,31.2
7,2007,8,38.5,15.3,16.2,560.8,3.79,345.82,436.11,484.31,547.35,621.97,33.4,13.5,8.8,32.2
8,2007,9,42.3,12.1,17.1,479.7,3.93,418.25,415.75,484.2,559.76,634.01,31.7,13.0,5.7,31.1
9,2007,10,44.6,10.3,12.4,409.1,4.12,340.89,394.95,465.17,537.92,611.52,33.7,13.5,4.0,31.9
10,2007,11,45.4,8.4,4.8,267.4,4.24,350.59,437.26,481.16,561.35,629.69,36.7,13.4,1.8,30.9
11,2007,12,43.25,4.6,1.6,148.2,4.05,372.11,413.96,482.85,563.22,635.17,38.2,13.0,2.8,30.2
12,2008,1,41.09,3.4,1.1,127.3,3.88,428.58,522.04,563.01,641.37,710.95,38.2,13.8,2.7,30.9
13,2008,2,40.67,5.0,3.2,204.6,3.87,464.02,539.11,606.92,677.93,748.63,36.8,13.0,2.2,29.1
14,2008,3,39.64,9.4,13.7,379.8,3.83,458.72,521.06,602.46,662.8,737.54,40.7,13.4,2.3,29.8
15,2008,4,35.52,14.2,19.8,574.9,3.66,436.13,505.8,570.65,657.94,730.18,40.3,14.1,5.7,31.4
16,2008,5,34.29,16.8,20.6,683.2,3.62,439.26,511.05,587.47,671.11,756.47,42.0,13.7,9.8,29.9
17,2008,6,32.85,15.4,24.2,639.3,3.66,441.39,520.1,593.26,678.31,750.36,37.0,13.5,8.8,29.4
18,2008,7,33.57,14.9,20.1,607.8,3.73,414.36,473.2,547.28,629.36,716.62,41.2,13.7,7.9,29.7
19,2008,8,33.88,13.4,20.1,543.8,3.85,399.9,472.59,559.77,633.38,734.34,35.2,13.9,5.4,30.0
20,2008,9,33.26,11.3,22.0,440.8,4.04,378.38,466.76,526.64,607.66,701.83,32.9,13.4,3.2,29.2
21,2008,10,33.98,10.6,16.0,373.5,4.23,405.89,442.26,528.66,592.71,681.94,38.2,13.7,3.6,29.8
22,2008,11,33.98,5.0,8.9,232.4,4.21,359.57,423.06,503.36,585.24,660.09,49.1,13.5,0.0,28.8
23,2008,12,33.71469069069069,4.7,4.7,151.3,4.05,358.54,439.71,523.56,590.67,660.95,32.4,13.4,0.0,29.4
24,2009,1,27.6,3.8,1.7,131.8,3.94,398.77,475.35,541.26,605.98,686.63,34.9,13.6,2.3,29.2
25,2009,2,26.15,6.4,3.2,197.8,3.94,386.59,482.07,542.39,608.03,681.63,31.6,12.6,1.4,26.6
26,2009,3,22.45,11.2,14.8,417.9,3.81,391.19,472.91,536.85,616.22,683.99,39.1,15.1,3.2,30.6
27,2009,4,22.34,13.7,17.3,562.6,3.67,371.76,449.14,529.72,609.78,689.76,36.2,12.4,9.6,26.2
28,2009,5,22.14,15.3,21.5,647.7,3.65,343.63,415.53,492.93,572.39,644.96,33.9,13.6,10.7,27.9
