Periods,Domestic milk supply,Fat content,Butter,Cheese,Milk powder|Skimmed-milk powder,Concentrated milk
2002 April,882.72,4.53,12.02,53.173,6.519,22.464
2002 August,873.311,4.15,8.121,53.051,4.232,22.726
2002 December,894.933,4.62,11.063,55.776,6.315,24.142
2002 February,775.809,4.54,10.281,46.135,6.418,23.133
2002 January,888.927,4.64,11.91,54.338,7.23,21.941
2002 July,885.023,4.16,10.793,53.086,6.242,22.529
2002 June,879.017,4.25,10.078,50.553,5.383,21.885
2002 March,843.88,4.57,10.561,50.341,5.574,25.321
2002 May,915.955,4.39,12.157,54.429,6.34,22.948
2002 November,836.973,4.56,7.496,55.351,3.732,23.868
2002 October,858.195,4.46,8.504,58.93,4.231,23.713
2002 September,822.358,4.27,6.416,53.836,3.919,21.13
2003 April,902.377,4.47,11.184,54.041,6.8,22.378
2003 August,882.573,4.12,7.091,54.426,3.399,25.555
2003 December,883.774,4.56,10.394,54.778,6.091,23.71
2003 February,831.663,4.58,10.472,51.642,6.011,20.968
2003 January,923.581,4.58,12.18,57.495,6.401,24.385
2003 July,909.078,4.13,9.121,54.487,5.374,22.7
2003 June,886.974,4.17,8.941,52.105,4.919,23.384
2003 March,914.58,4.51,11.274,55.67,6.489,22.904
2003 May,957.988,4.33,11.678,55.529,7.158,24.663
2003 November,834.164,4.6,8.53,54.296,4.467,22.025
2003 October,891.775,4.5,7.87,58.276,5.049,23.981
2003 September,877.872,4.3,7.665,55.156,3.947,21.047
2004 April,907.755,4.46,9.324,55.855,4.046,23.211
2004 August,881.526,4.19,7.321,53.418,3.121,23.206
2004 December,893.568,4.58,9.746,55.462,5.019,19.703
2004 February,820.157,4.52,7.415,51.404,4.523,20.89
2004 January,898.295,4.56,9.016,57.011,6.021,22.578
2004 July,896.818,4.23,7.722,56.342,3.603,24.009
2004 June,888.247,4.27,7.381,53.608,4.238,25.417
2004 March,853.169,4.57,9.28,55.869,3.257,23.925
2004 May,933.123,4.35,9.229,57.154,5.3,20.636
2004 November,850.159,4.54,9.306,54.02,4.44,25.119
2004 October,885.904,4.46,7.773,56.492,4.041,26.553
2004 September,852.279,4.32,7.487,52.666,3.391,24.854
2005 April,897.959,4.43,10.407,54.506,4.988,24.358
2005 August,873.2,4.21,9.362,57.37,4.24,25.319
2005 December,897.236,4.56,12.12,60.736,4.509,24.068
2005 February,814.364,4.56,10.105,52.076,4.866,21.206
2005 January,903.748,4.56,12.343,57.176,5.093,21.35
2005 July,886.707,4.16,9.332,55.27,4.074,26.673
2005 June,879.73,4.21,9.88,53.008,4.493,25.929
2005 March,867.684,4.56,11.302,55.4,5.314,19.472
2005 May,916.551,4.34,10.218,55.617,6.231,24.468
2005 November,831.77,4.47,8.559,56.515,2.578,28.458
2005 October,865.368,4.39,8.692,58.626,3.824,24.775
2005 September,844.583,4.25,6.48,55.9,2.988,25.724
2006 April,893.601,4.51,13.371,60.033,4.767,25.754
2006 August,878.191,4.2,8.148,60.916,3.14,24.337
2006 December,922.931,4.48,11.291,63.177,4.825,27.723
