Periods,Volume,Fat content,Butter,Cheese,Milk powder|Skimmed-milk powder,Concentrated milk
2002 April,882.72,4.53,12.02,53.17,6.52,22.46
2002 August,873.31,4.15,8.12,53.05,4.23,22.73
2002 December,894.93,4.62,11.06,55.78,6.32,24.14
2002 February,775.81,4.54,10.28,46.14,6.42,23.13
2002 January,888.93,4.64,11.91,54.34,7.23,21.94
2002 July,885.02,4.16,10.79,53.09,6.24,22.53
2002 June,879.02,4.25,10.08,50.55,5.38,21.89
2002 March,843.88,4.57,10.56,50.34,5.57,25.32
2002 May,915.96,4.39,12.16,54.43,6.34,22.95
2002 November,836.97,4.56,7.50,55.35,3.73,23.87
2002 October,858.20,4.46,8.50,58.93,4.23,23.71
2002 September,822.36,4.27,6.42,53.84,3.92,21.13
2003 April,902.38,4.47,11.18,54.04,6.80,22.38
2003 August,882.57,4.12,7.09,54.43,3.40,25.56
2003 December,883.77,4.56,10.39,54.78,6.09,23.71
2003 February,831.66,4.58,10.47,51.64,6.01,20.97
2003 January,923.58,4.58,12.18,57.50,6.40,24.39
2003 July,909.08,4.13,9.12,54.49,5.37,22.70
2003 June,886.97,4.17,8.94,52.11,4.92,23.38
2003 March,914.58,4.51,11.27,55.67,6.49,22.90
2003 May,957.99,4.33,11.68,55.53,7.16,24.66
2003 November,834.16,4.60,8.53,54.30,4.47,22.03
2003 October,891.78,4.50,7.87,58.28,5.05,23.98
2003 September,877.87,4.30,7.67,55.16,3.95,21.05
2004 April,907.76,4.46,9.32,55.86,4.05,23.21
2004 August,881.53,4.19,7.32,53.42,3.12,23.21
2004 December,893.57,4.58,9.75,55.46,5.02,19.70
2004 February,820.16,4.52,7.42,51.40,4.52,20.89
2004 January,898.30,4.56,9.02,57.01,6.02,22.58
2004 July,896.82,4.23,7.72,56.34,3.60,24.01
2004 June,888.25,4.27,7.38,53.61,4.24,25.42
2004 March,853.17,4.57,9.28,55.87,3.26,23.93
2004 May,933.12,4.35,9.23,57.15,5.30,20.64
2004 November,850.16,4.54,9.31,54.02,4.44,25.12
2004 October,885.90,4.46,7.77,56.49,4.04,26.55
2004 September,852.28,4.32,7.49,52.67,3.39,24.85
2005 April,897.96,4.43,10.41,54.51,4.99,24.36
2005 August,873.20,4.21,9.36,57.37,4.24,25.32
2005 December,897.24,4.56,12.12,60.74,4.51,24.07
2005 February,814.36,4.56,10.11,52.08,4.87,21.21
2005 January,903.75,4.56,12.34,57.18,5.09,21.35
2005 July,886.71,4.16,9.33,55.27,4.07,26.67
2005 June,879.73,4.21,9.88,53.01,4.49,25.93
2005 March,867.68,4.56,11.30,55.40,5.31,19.47
2005 May,916.55,4.34,10.22,55.62,6.23,24.47
2005 November,831.77,4.47,8.56,56.52,2.58,28.46
2005 October,865.37,4.39,8.69,58.63,3.82,24.78
2005 September,844.58,4.25,6.48,55.90,2.99,25.72
2006 April,893.60,4.51,13.37,60.03,4.77,25.75
2006 August,878.19,4.20,8.15,60.92,3.14,24.34
2006 December,922.93,4.48,11.29,63.18,4.83,27.72
2006 February,838.24,4.57,12.76,53.68,5.23,23.31
2006 January,917.59,4.59,13.21,60.74,5.54,25.50
2006 July,884.64,4.12,8.81,59.83,3.49,26.04
2006 June,894.14,4.21,10.67,58.37,4.51,24.85
2006 March,915.83,4.58,13.42,58.43,5.28,25.16
2006 May,938.34,4.33,12.83,57.69,4.72,27.14
2006 November,851.16,4.46,7.53,60.68,3.02,26.07
2006 October,880.01,4.35,6.93,61.65,2.31,27.99
2006 September,841.92,4.28,6.14,58.82,2.07,25.03
2007 April,916.43,4.37,11.73,61.13,4.58,25.18
2007 August,873.41,4.20,9.08,60.20,2.50,27.22
2007 December,929.96,4.50,13.91,64.14,4.92,29.13
2007 February,850.37,4.48,11.20,56.64,3.95,23.46
2007 January,941.65,4.47,11.46,63.75,5.45,27.07
2007 July,874.30,4.18,9.32,59.79,2.60,27.20
2007 June,876.82,4.18,9.97,56.39,3.29,29.53
2007 March,933.87,4.46,12.04,63.65,4.29,27.72
2007 May,937.15,4.26,11.34,62.30,3.49,32.12
2007 November,872.16,4.48,10.75,59.35,3.26,27.41
2007 October,888.29,4.41,10.35,63.07,2.03,28.03
2007 September,842.75,4.32,8.07,59.93,2.51,22.68
2008 April,942.31,4.46,13.06,59.60,5.11,28.04
2008 August,905.03,4.19,9.03,60.37,2.62,30.25
2008 December,983.47,4.52,11.78,60.65,6.29,29.57
2008 February,927.17,4.44,12.29,59.67,4.88,29.39
2008 January,982.85,4.48,12.40,62.71,5.85,30.33
2008 July,923.85,4.19,8.27,62.56,3.30,28.02
2008 June,930.21,4.20,8.09,57.74,4.94,27.85
2008 March,971.34,4.49,12.30,62.39,4.56,27.21
2008 May,982.93,4.28,10.64,60.26,4.99,30.93
2008 November,914.89,4.48,9.84,55.98,5.46,26.68
2008 October,932.45,4.41,9.11,60.71,4.62,23.25
2008 September,898.08,4.28,7.48,59.07,2.62,30.39
2009 April,986.76,4.38,11.56,57.96,6.06,27.94
2009 August,940.25,4.17,7.01,59.74,5.43,23.81
2009 December,970.39,4.41,11.70,62.77,6.83,24.58
2009 February,918.00,4.52,12.26,55.04,6.02,25.14
2009 January,1004.18,4.55,12.90,61.21,6.55,26.44
2009 July,957.22,4.17,7.62,59.66,5.31,23.57
2009 June,969.23,4.19,9.18,58.79,5.40,29.21
2009 March,964.13,4.46,12.20,59.80,5.45,25.59
