,text,coord,place,hashtags,formatted_text,sentiment,neg,neu,pos,compound
0,Are they still trying to milk this😂 https://t.co/Gkyob5Yeyk,,,nan,Are they still trying to milk this   ,neutral,0.0,1.0,0.0,0.0
1,Caramel bread toast with rose milk 🤤🤤🤤❤️❤️❤️❤️,,,nan,Caramel bread toast with rose milk            ,neutral,0.0,1.0,0.0,0.0
2,RT @lilyganados: Well happy naman ako sa performance nila. Hinde sa pagiging ano madami pa talaga tayong iinumin na Thai Milk Tea bago nate…,,,nan, Well happy naman ako sa performance nila  Hinde sa pagiging ano madami pa talaga tayong iinumin na Thai Milk Tea bago nate ,positive,0.0,0.775,0.225,0.7003
3,"RT @historydefined: A child with bread and milk, Istanbul, Turkey, 1989 https://t.co/QRgcs6cmRl",,,nan, A child with bread and milk  Istanbul  Turkey  1989  ,neutral,0.0,1.0,0.0,0.0
4,RT @StuInNorway: A big gas-guzzling SUV is fine if you need to drive 300m to buy some milk and a loaf of bread . .  but what if you need to…,,,nan, A big gas guzzling SUV is fine if you need to drive 300m to buy some milk and a loaf of bread      but what if you need to ,positive,0.0,0.947,0.053,0.1027
5,@miru_milk ()(∩^q^∩),,,nan,  milk      q   ,neutral,0.0,1.0,0.0,0.0
6,"RT @DocHappy95: Breast milk delivered to TMC Clark. Thank you po, kakampink mommy💖💖💖 https://t.co/4J3apPDUMA",,,nan, Breast milk delivered to TMC Clark  Thank you po  kakampink mommy     ,negative,0.238,0.596,0.166,-0.2732
7,"@SeraphiVT I once felt like shit and wanted to throw up, so someone said to me that I should drink milk to help me… https://t.co/83MpK8ZQ38",,,nan,  I once felt like **** and wanted to throw up  so someone said to me that I should drink milk to help me   ,positive,0.134,0.672,0.194,0.1531
8,RT @Tweety1875: They are so adorable. I love my strawberries with whipped cream or melted chocolate ( the fodue way). Matry nga ang Japanes…,,,nan, They are so adorable  I love my strawberries with whipped cream or melted chocolate   the fodue way   Matry nga ang Japanes ,positive,0.0,0.677,0.323,0.8623
9,RT @sprooggy: Just made a mess out of this Kitty...who is gonna lap up the milk??💦💦 https://t.co/B7Ze6jvwmT,,,nan, Just made a mess out of this Kitty   who is gonna lap up the milk      ,negative,0.161,0.839,0.0,-0.3612
10,@solarkarii WHAT ELSE YOU DRINK IF AS? BLUE PLAIN MILK?! WDYM WHITE PLAIN MILK,,,nan,  WHAT ELSE YOU DRINK IF AS  BLUE PLAIN MILK   WDYM WHITE PLAIN MILK,neutral,0.0,1.0,0.0,0.0
11,100% premium quality &amp; handmade cow milk ghee which not only adds flavor to your foods but also keeps you healthy a… https://t.co/K5l4ABjqcM,,,nan,100  premium quality  amp  handmade cow milk ghee which not only adds flavor to your foods but also keeps you healthy a   ,positive,0.0,0.849,0.151,0.5499
12,"A Glass Of Milk every day.

Download the Desi Farms app to place your order:
Android: https://t.co/YRiBLK0fen
iOS:… https://t.co/COVIrYMNLB",,,nan,A Glass Of Milk every day   Download the Desi Farms app to place your order  Android    iOS    ,neutral,0.0,1.0,0.0,0.0
13,"@JStaponkus I hope he’s ok now and the people involved have had some consequences, my 14 year old is anaphylactic t… https://t.co/RdYL0TPu7E",,,nan,  I hope he s ok now and the people involved have had some consequences  my 14 year old is anaphylactic t   ,positive,0.0,0.758,0.242,0.6249
14,RT @liz_churchill_: Pf1zer states not to ‘breast feed’… ‘suddenly’ there’s a Formula shortage…’suddenly’ Gates magically appears with ‘Synt…,,,nan, Pf1zer states not to  breast feed    suddenly  there s a Formula shortage  suddenly  Gates magically appears with  Synt ,negative,0.118,0.882,0.0,-0.25
15,@natsuki_13_milk 似合ってる🥰反応気になるー^ ^,,,nan,  13 milk                 ,neutral,0.0,1.0,0.0,0.0
16,RT @shaymantim: One of the first great product placements in top sport (nothing like this happens by accident). Milk owned this moment for…,,,nan, One of the first great product placements in top sport  nothing like this happens by accident   Milk owned this moment for ,positive,0.185,0.605,0.21,0.1754
17,"RT @funtimefreddiee: Here, have some chocy milk CAUSE YOU'RE EPIC! 💖 https://t.co/vcYRy5WelI",,,nan, Here  have some chocy milk CAUSE YOU RE EPIC     ,neutral,0.0,1.0,0.0,0.0
18,RT @HiddenFigure___: Milk Marie by Rich Homie Quan gone forever be fire,,,nan, Milk Marie by Rich Homie Quan gone forever be fire,positive,0.171,0.571,0.257,0.296
19,@kmcsween @elonmusk LETS GO MILK,,,nan,    LETS GO MILK,neutral,0.0,1.0,0.0,0.0
20,"RT @KimsMom3: I don’t know who needs to tell Greg Abbott this: walking 2,000 miles with an infant is STRESSFUL. It can dry up a mother’s mi…",,,nan, I don t know who needs to tell Greg Abbott this  walking 2 000 miles with an infant is STRESSFUL  It can dry up a mother s mi ,negative,0.155,0.845,0.0,-0.6166
21,@hiki_milk 好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き好き,,,nan,  milk                                                         ,neutral,0.0,1.0,0.0,0.0
22,"Hmm. Well, aren't you a cool glass of milk?",,,nan,Hmm  Well  aren t you a cool glass of milk ,positive,0.0,0.577,0.423,0.5267
23,RT @cretaKate: This situation was well known and recognised by the government of both wars and measures began to be put into place to impro…,,,nan, This situation was well known and recognised by the government of both wars and measures began to be put into place to impro ,negative,0.135,0.787,0.079,-0.3612
24,@milk_gyunyu_223 それなだわばか,,,nan,  gyunyu 223        ,neutral,0.0,1.0,0.0,0.0
25,RT @lilyganados: Well happy naman ako sa performance nila. Hinde sa pagiging ano madami pa talaga tayong iinumin na Thai Milk Tea bago nate…,,,nan, Well happy naman ako sa performance nila  Hinde sa pagiging ano madami pa talaga tayong iinumin na Thai Milk Tea bago nate ,positive,0.0,0.775,0.225,0.7003
26,RT @Luna620_: @Marti_444 @SRuhle This picture shows exactly one brand and one type of infant formula…the most standard one. Doesn’t help an…,,,nan,   444   This picture shows exactly one brand and one type of infant formula the most standard one  Doesn t help an ,positive,0.0,0.876,0.124,0.4019
