,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"RT @enockk256: Factors for dairy farm milk production. 

1. The proportion of cows giving milk at any given time (around 80%)

2. The level…", factors for dairy farm milk production    1  the proportion of cows giving milk at any given time  around 80    2  the level ,0.0,0.0,positive,0.0,0.888,0.112,0.34
1,"RT @CenterForBioDiv: Industrialized meat and dairy production are killing the planet, poisoning rural communities and hurting independent f…", industrialized meat and dairy production are killing the planet  poisoning rural communities and hurting independent f ,0.0,0.0625,negative,0.476,0.524,0.0,-0.8979
2,RT @Doreen_andersx: So all the hard work has paid off 😍a great open meeting today at Crichton Farm ⁦@SRUC⁩ ⁦@ConsultingSAC⁩ ⁦@AHDB_Dairy⁩.…, so all the hard work has paid off  a great open meeting today at crichton farm            dairy   ,0.16944444444444443,0.5972222222222222,positive,0.084,0.708,0.207,0.5325
3,"RT @CenterForBioDiv: Industrialized meat and dairy production are killing the planet, poisoning rural communities and hurting independent f…", industrialized meat and dairy production are killing the planet  poisoning rural communities and hurting independent f ,0.0,0.0625,negative,0.476,0.524,0.0,-0.8979
4,"RT @CenterForBioDiv: Industrialized meat and dairy production are killing the planet, poisoning rural communities and hurting independent f…", industrialized meat and dairy production are killing the planet  poisoning rural communities and hurting independent f ,0.0,0.0625,negative,0.476,0.524,0.0,-0.8979
5,"RT @CenterForBioDiv: Industrialized meat and dairy production are killing the planet, poisoning rural communities and hurting independent f…", industrialized meat and dairy production are killing the planet  poisoning rural communities and hurting independent f ,0.0,0.0625,negative,0.476,0.524,0.0,-0.8979
6,"#Dairy #Herd #Management Market by Product (Automated Systems (Milking, Feeding/Nutrition Management), Software (Cl… https://t.co/ap9oZb5pzk", dairy  herd  management market by product  automated systems  milking  feeding nutrition management   software  cl   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,RT @scotdairyhub: Can you help a French student with experience on dairy farms with a months placement on a dairy farm in Scotland? For all…, can you help a french student with experience on dairy farms with a months placement on a dairy farm in scotland  for all ,0.0,0.0,positive,0.0,0.876,0.124,0.4019
8,"RT @CenterForBioDiv: Industrialized meat and dairy production are killing the planet, poisoning rural communities and hurting independent f…", industrialized meat and dairy production are killing the planet  poisoning rural communities and hurting independent f ,0.0,0.0625,negative,0.476,0.524,0.0,-0.8979
9,So all the hard work has paid off 😍a great open meeting today at Crichton Farm ⁦@SRUC⁩ ⁦@ConsultingSAC⁩ ⁦… https://t.co/X4YD0Df4A9,so all the hard work has paid off  a great open meeting today at crichton farm             ,0.16944444444444443,0.5972222222222222,positive,0.089,0.693,0.219,0.5325
10,"RT @CenterForBioDiv: Industrialized meat and dairy production are killing the planet, poisoning rural communities and hurting independent f…", industrialized meat and dairy production are killing the planet  poisoning rural communities and hurting independent f ,0.0,0.0625,negative,0.476,0.524,0.0,-0.8979
11,"Industrialized meat and dairy production are killing the planet, poisoning rural communities and hurting independen… https://t.co/MdHo7PqDM2",industrialized meat and dairy production are killing the planet  poisoning rural communities and hurting independen   ,0.0,0.0,negative,0.476,0.524,0.0,-0.8979
12,Farm Management and Economic Factors Associated with Bulk Tank Total Bacterial Count in Holstein Dairy Herds in Ira… https://t.co/nr8xsRstsH,farm management and economic factors associated with bulk tank total bacterial count in holstein dairy herds in ira   ,0.1,0.475,neutral,0.0,1.0,0.0,0.0
13,@keenlykept Trevor grew up in a dairy farm and he calls me his Jersey cow 🥰😆,  trevor grew up in a dairy farm and he calls me his jersey cow   ,-0.13333333333333333,0.16666666666666666,neutral,0.0,1.0,0.0,0.0
14,"Are you available on Sunday, May 1st for a farm fresh breakfast? We are all for supporting events like this!🐄

BOTF… https://t.co/gJhViQZsAY",are you available on sunday  may 1st for a farm fresh breakfast  we are all for supporting events like this    botf   ,0.31666666666666665,0.3833333333333333,positive,0.0,0.688,0.312,0.7717
15,"RT @enockk256: Factors for dairy farm milk production. 

1. The proportion of cows giving milk at any given time (around 80%)

2. The level…", factors for dairy farm milk production    1  the proportion of cows giving milk at any given time  around 80    2  the level ,0.0,0.0,positive,0.0,0.888,0.112,0.34
16,Hate how social media customer services make you do progressively effortful things in order to find out what the pr… https://t.co/dIpXCq2z8z,hate how social media customer services make you do progressively effortful things in order to find out what the pr   ,-0.38333333333333336,0.48333333333333334,negative,0.163,0.837,0.0,-0.5719
